played_at,ms_played,track_name,artist_name,album_name,spotify_track_uri,copies
2020-12-17 23:41:39+00:00,0,96 Anthem,Mat Eman,Again,spotify:track:5yoTTfx5vpfZYoH9ETmnsm,9
2020-12-17 23:41:43+00:00,0,Middle Finger Anthem,Sublime Eman,Rated E,spotify:track:2erODweK4HFMJxCsfec9aS,8
2020-12-17 23:41:38+00:00,0,96 Anthem,Mat Eman,Again,spotify:track:5yoTTfx5vpfZYoH9ETmnsm,6
2020-12-17 23:41:52+00:00,0,"The House Music Anthem ""The Italian Connection"" - Emanuele Inglese Remix","Curtis ""Move Your Body"" Mcclain",Move Your Body 30Th Anniversary: Commemorative Edition,spotify:track:3tU5DnD5FZdBzDsHXL2aMS,6
2020-12-17 23:41:54+00:00,0,"The House Music Anthem ""The Italian Connection"" - Emanuele Inglese Remix","Curtis ""Move Your Body"" Mcclain",Move Your Body 30Th Anniversary: Commemorative Edition,spotify:track:3tU5DnD5FZdBzDsHXL2aMS,6
2020-12-17 23:41:42+00:00,0,Middle Finger Anthem,Sublime Eman,Rated E,spotify:track:2erODweK4HFMJxCsfec9aS,5
2020-12-17 23:41:45+00:00,0,Middle Finger Anthem,Sublime Eman,Rated E,spotify:track:2erODweK4HFMJxCsfec9aS,5
2020-12-17 23:41:49+00:00,0,"The House Music Anthem ""The Italian Connection"" - Emanuele Inglese Remix","Curtis ""Move Your Body"" Mcclain",Move Your Body 30Th Anniversary: Commemorative Edition,spotify:track:3tU5DnD5FZdBzDsHXL2aMS,5
2020-12-17 23:41:47+00:00,0,"The House Music Anthem ""The Italian Connection"" - Emanuele Inglese Remix","Curtis ""Move Your Body"" Mcclain",Move Your Body 30Th Anniversary: Commemorative Edition,spotify:track:3tU5DnD5FZdBzDsHXL2aMS,4
2020-12-17 23:41:50+00:00,0,"The House Music Anthem ""The Italian Connection"" - Emanuele Inglese Remix","Curtis ""Move Your Body"" Mcclain",Move Your Body 30Th Anniversary: Commemorative Edition,spotify:track:3tU5DnD5FZdBzDsHXL2aMS,4
2020-12-17 23:41:57+00:00,0,Season Anthem,Emannsc,Itsonlygonnagetbetter,spotify:track:40sgeL0ftEeK0aZ1X2NiqU,4
2021-06-24 16:07:27+00:00,0,Arms,The Paper Kites,On the Train Ride Home,spotify:track:48HT7Zzd3We4ZjG82lsbdK,4
2020-12-17 23:41:44+00:00,0,Middle Finger Anthem,Sublime Eman,Rated E,spotify:track:2erODweK4HFMJxCsfec9aS,3
2020-12-17 23:41:48+00:00,0,"The House Music Anthem ""The Italian Connection"" - Emanuele Inglese Remix","Curtis ""Move Your Body"" Mcclain",Move Your Body 30Th Anniversary: Commemorative Edition,spotify:track:3tU5DnD5FZdBzDsHXL2aMS,3
2020-12-17 23:41:51+00:00,0,"The House Music Anthem ""The Italian Connection"" - Emanuele Inglese Remix","Curtis ""Move Your Body"" Mcclain",Move Your Body 30Th Anniversary: Commemorative Edition,spotify:track:3tU5DnD5FZdBzDsHXL2aMS,3
2020-12-17 23:41:55+00:00,0,"The House Music Anthem ""The Italian Connection"" - Emanuele Inglese Remix","Curtis ""Move Your Body"" Mcclain",Move Your Body 30Th Anniversary: Commemorative Edition,spotify:track:3tU5DnD5FZdBzDsHXL2aMS,3
2021-05-21 01:38:36+00:00,0,Bounty,Aftertheparty,Bounty,spotify:track:2fSqMltkIff1dBwKdFNoNu,3
2022-02-10 12:52:35+00:00,162879,Polo Sport,Thelonious B.,Polo Sport,spotify:track:0R4vaZgqskXAh25vblHx3y,3
