year_month,events,hours
2020-12,1981,91.17
2021-01,2276,102.56
2021-02,2116,102.82
2021-03,1356,58.22
2021-04,1096,43.12
2021-05,971,37.92
2021-06,1021,42.54
2021-07,591,27.66
2021-08,424,15.34
2021-09,553,25.02
2021-10,775,31.25
2021-11,810,40.29
2021-12,1140,55.68
2022-01,527,29.09
2022-02,774,38.18
2022-03,678,31.95
2022-04,411,19.9
2022-05,491,23.67
2022-06,541,26.25
2022-07,742,29.67
2022-08,409,18.53
2022-09,490,20.06
2022-10,768,34.27
2022-11,793,34.34
2022-12,777,35.39
2023-01,828,35.86
2023-02,767,37.56
2023-03,1398,57.02
2023-04,1524,72.67
2023-05,1497,61.59
2023-06,1522,66.4
2023-07,2089,93.77
2023-08,2934,96.06
2023-09,2175,89.65
2023-10,2786,102.65
2023-11,1870,81.13
2023-12,2146,88.09
2024-01,1921,101.99
2024-02,1562,66.65
2024-03,1003,49.25
2024-04,723,34.44
2024-05,1565,65.61
2024-06,1216,50.65
2024-07,1082,47.76
2024-08,1006,45.38
2024-09,902,40.22
2024-10,896,54.45
2024-11,1523,75.29
2024-12,1353,63.75
2025-01,843,41.34
2025-02,4,0.04
2025-03,5,0.03
2025-06,19,0.07
2025-08,1,0.0
2026-04,5,0.05
2026-06,535,5.81
2026-07,1078,53.34
2026-08,1290,77.29
2026-09,2,0.04
